jugadorId,nombre,apellido,seleccionId,posicion,dorsal,fechaNacimiento,altura,peso,club,capitan
ARG-08,Cristóbal,Carpio,ARG,Arquero,8,2001-05-05,192,90.0,Málaga AC,false
ARG-06,Amancio,Sebastián,ARG,Arquero,6,2006-07-25,189,84.9,Córdoba AC,false
ARG-18,Noé,Valle,ARG,Arquero,18,1997-03-23,193,77.9,Albacete CF,false
ARG-04,Leocadio,Llorens,ARG,Defensor,4,2007-04-06,193,90.1,Melilla SC,false
ARG-19,Victorino,Zabaleta,ARG,Defensor,19,2008-04-06,188,82.8,Santa Cruz de Tenerife SC,false
ARG-11,Albert,Laguna,ARG,Defensor,11,2006-03-08,193,88.2,Granada CF,false
ARG-09,Benito,Falcó,ARG,Defensor,9,1991-10-11,184,74.0,Zaragoza CF,false
ARG-20,Ruben,Piña,ARG,Defensor,20,1994-03-19,185,71.7,Navarra SC,false
ARG-07,Andrés,Castejón,ARG,Defensor,7,2004-06-19,179,76.5,Sevilla CF,false
ARG-02,Joaquín,Arana,ARG,Defensor,2,2005-11-05,184,72.5,Lugo CF,false
ARG-05,Cipriano,Perez,ARG,Defensor,5,2005-11-22,185,83.4,Cantabria FC,false
ARG-24,Édgar,Arellano,ARG,Mediocampista,24,1990-10-16,171,71.4,Madrid FC,true
ARG-22,Gregorio,Antón,ARG,Mediocampista,22,1990-01-18,173,61.8,Salamanca AC,false
ARG-03,Óscar,Alarcón,ARG,Mediocampista,3,2005-05-19,185,78.6,Ceuta AC,false
ARG-21,Atilio,Carballo,ARG,Mediocampista,21,1998-08-18,170,69.5,Salamanca AC,false
ARG-23,Baudelio,Romeu,ARG,Mediocampista,23,2006-04-22,181,79.9,Murcia SC,false
ARG-14,Espiridión,Larrea,ARG,Mediocampista,14,2006-11-01,176,72.4,Guadalajara AC,false
ARG-15,Ramiro,Corral,ARG,Mediocampista,15,1998-03-30,183,81.3,Cádiz FC,false
ARG-16,Eliseo,Maldonado,ARG,Mediocampista,16,2003-07-30,183,73.3,Valencia CF,false
ARG-01,Victoriano,Gaya,ARG,Delantero,1,2008-06-27,177,72.5,León AC,false
ARG-17,Carlos,Castejón,ARG,Delantero,17,1994-02-25,176,66.9,Lugo AC,false
ARG-12,Lucas,Bartolomé,ARG,Delantero,12,1994-04-17,169,59.9,Teruel AC,false
ARG-13,Albano,Busquets,ARG,Delantero,13,1999-03-10,178,76.3,Cuenca AC,false
ARG-10,Jose Manuel,Vaquero,ARG,Delantero,10,2003-06-25,189,84.2,Girona SC,false
PAR-07,Cristóbal,Pino,PAR,Arquero,7,1998-07-26,192,87.5,Lleida CF,false
PAR-21,Augusto,Villalobos,PAR,Arquero,21,1998-08-05,198,88.0,Guadalajara AC,false
PAR-13,Amancio,Belda,PAR,Arquero,13,2007-05-13,196,84.1,Burgos FC,false
PAR-23,Maximino,Manzanares,PAR,Defensor,23,1990-12-02,189,87.0,La Rioja AC,false
PAR-12,Amílcar,Redondo,PAR,Defensor,12,2006-04-07,180,67.7,Cádiz FC,false
PAR-17,Cosme,Baquero,PAR,Defensor,17,2000-11-15,189,81.7,Ávila AC,true
PAR-09,Fausto,Cobo,PAR,Defensor,9,1998-09-06,194,86.7,Santa Cruz de Tenerife SC,false
PAR-05,Anselmo,Alcalde,PAR,Defensor,5,1992-01-13,179,76.0,Ciudad AC,false
PAR-16,Alcides,Sastre,PAR,Defensor,16,2001-05-04,187,73.5,Girona CF,false
PAR-02,Cristian,Fonseca,PAR,Defensor,2,1991-10-01,187,79.9,Albacete SC,false
PAR-01,Loreto,Saldaña,PAR,Defensor,1,2008-03-01,184,76.1,Málaga FC,false
PAR-03,Benjamín,Pellicer,PAR,Mediocampista,3,1991-10-27,177,74.5,Lugo FC,false
