eventoId,partidoId,jugadorId,seleccionId,tipo,minuto,detalle
EV-F2030-001-06,F2030-001,ARG-23,ARG,tarjeta_roja,2,Expulsión
EV-F2030-001-02,F2030-001,ESP-14,ESP,gol,4,Gol en jugada
EV-F2030-001-08,F2030-001,ESP-13,ESP,tarjeta_roja,11,Expulsión
EV-F2030-001-03,F2030-001,ESP-06,ESP,gol,36,Gol en jugada
EV-F2030-001-07,F2030-001,ESP-15,ESP,tarjeta_amarilla,39,Infracción táctica
EV-F2030-001-05,F2030-001,ARG-23,ARG,tarjeta_amarilla,40,Infracción táctica
EV-F2030-001-01,F2030-001,ARG-04,ARG,gol,42,Gol en jugada
EV-F2030-001-04,F2030-001,ARG-09,ARG,tarjeta_amarilla,71,Infracción táctica
EV-F2030-001-09,F2030-001,ESP-02,ESP,tarjeta_amarilla,84,Infracción táctica
EV-F2030-002-03,F2030-002,URU-01,URU,penal_convertido,5,Gol de penal
EV-F2030-002-02,F2030-002,URU-23,URU,penal_convertido,17,Gol de penal
EV-F2030-002-01,F2030-002,URU-06,URU,penal_convertido,25,Gol de penal
EV-F2030-002-05,F2030-002,PAR-16,PAR,tarjeta_amarilla,51,Infracción táctica
EV-F2030-002-04,F2030-002,PAR-17,PAR,tarjeta_amarilla,67,Infracción táctica
EV-F2030-003-02,F2030-003,FRA-08,FRA,gol,20,Gol en jugada
EV-F2030-003-07,F2030-003,BRA-07,BRA,tarjeta_amarilla,39,Infracción táctica
EV-F2030-003-01,F2030-003,FRA-08,FRA,penal_convertido,41,Gol de penal
EV-F2030-003-04,F2030-003,FRA-15,FRA,tarjeta_amarilla,43,Infracción táctica
EV-F2030-003-03,F2030-003,BRA-19,BRA,penal_convertido,55,Gol de penal
EV-F2030-003-05,F2030-003,FRA-07,FRA,tarjeta_amarilla,61,Infracción táctica
EV-F2030-003-06,F2030-003,BRA-09,BRA,tarjeta_amarilla,88,Infracción táctica
EV-F2030-004-03,F2030-004,MAR-02,MAR,tarjeta_amarilla,14,Infracción táctica
EV-F2030-004-02,F2030-004,POR-12,POR,tarjeta_roja,16,Expulsión
EV-F2030-004-01,F2030-004,POR-03,POR,gol,32,Gol en jugada
EV-F2030-005-02,F2030-005,ENG-03,ENG,gol,7,Gol en jugada
EV-F2030-005-08,F2030-005,ENG-16,ENG,tarjeta_amarilla,10,Infracción táctica
EV-F2030-005-05,F2030-005,NED-12,NED,gol,14,Gol en jugada
EV-F2030-005-07,F2030-005,ENG-15,ENG,tarjeta_amarilla,41,Infracción táctica
EV-F2030-005-06,F2030-005,NED-09,NED,gol,43,Gol en jugada
EV-F2030-005-01,F2030-005,ENG-19,ENG,gol,48,Gol en jugada
EV-F2030-005-03,F2030-005,ENG-03,ENG,gol,75,Gol en jugada
EV-F2030-005-04,F2030-005,ENG-14,ENG,penal_convertido,77,Gol de penal
EV-F2030-006-02,F2030-006,GER-05,GER,gol,18,Gol en jugada
EV-F2030-006-03,F2030-006,ITA-05,ITA,gol,21,Gol en jugada
EV-F2030-006-01,F2030-006,GER-06,GER,gol,42,Gol en jugada
EV-F2030-006-04,F2030-006,GER-07,GER,tarjeta_amarilla,61,Infracción táctica
EV-F2030-006-06,F2030-006,ITA-05,ITA,tarjeta_amarilla,74,Infracción táctica
EV-F2030-006-05,F2030-006,GER-22,GER,tarjeta_amarilla,87,Infracción táctica
EV-F2030-007-04,F2030-007,CRO-13,CRO,tarjeta_amarilla,1,Infracción táctica
EV-F2030-007-03,F2030-007,CRO-01,CRO,tarjeta_amarilla,25,Infracción táctica
EV-F2030-007-05,F2030-007,CRO-18,CRO,tarjeta_amarilla,38,Infracción táctica
EV-F2030-007-02,F2030-007,BEL-06,BEL,tarjeta_amarilla,69,Infracción táctica
EV-F2030-007-01,F2030-007,BEL-15,BEL,penal_convertido,89,Gol de penal
EV-F2030-008-01,F2030-008,COL-05,COL,gol,35,Gol en jugada
EV-F2030-008-04,F2030-008,USA-14,USA,tarjeta_amarilla,44,Infracción táctica
EV-F2030-008-03,F2030-008,USA-20,USA,tarjeta_amarilla,76,Infracción táctica
EV-F2030-008-02,F2030-008,COL-12,COL,gol,89,Gol en jugada
EV-F2030-009-01,F2030-009,SEN-05,SEN,tarjeta_amarilla,6,Infracción táctica
EV-F2030-009-03,F2030-009,SEN-08,SEN,tarjeta_amarilla,82,Infracción táctica
EV-F2030-009-02,F2030-009,SEN-07,SEN,tarjeta_amarilla,85,Infracción táctica
EV-F2030-010-05,F2030-010,JPN-05,JPN,gol,15,Gol en jugada
EV-F2030-010-01,F2030-010,MEX-19,MEX,penal_convertido,29,Gol de penal
EV-F2030-010-02,F2030-010,MEX-23,MEX,penal_convertido,31,Gol de penal
EV-F2030-010-03,F2030-010,MEX-08,MEX,gol,38,Gol en jugada
EV-F2030-010-07,F2030-010,MEX-11,MEX,tarjeta_amarilla,48,Infracción táctica
EV-F2030-010-06,F2030-010,MEX-07,MEX,tarjeta_amarilla,53,Infracción táctica
EV-F2030-010-04,F2030-010,MEX-05,MEX,gol,83,Gol en jugada
EV-F2030-010-08,F2030-010,JPN-13,JPN,tarjeta_amarilla,84,Infracción táctica
EV-F2030-011-02,F2030-011,POL-10,POL,penal_convertido,7,Gol de penal
EV-F2030-011-04,F2030-011,AUT-13,AUT,tarjeta_amarilla,15,Infracción táctica
EV-F2030-011-06,F2030-011,POL-13,POL,tarjeta_amarilla,32,Infracción táctica
EV-F2030-011-01,F2030-011,AUT-01,AUT,gol,35,Gol en jugada
EV-F2030-011-05,F2030-011,AUT-02,AUT,tarjeta_amarilla,48,Infracción táctica
EV-F2030-011-07,F2030-011,POL-03,POL,tarjeta_amarilla,49,Infracción táctica
EV-F2030-011-08,F2030-011,POL-24,POL,tarjeta_amarilla,59,Infracción táctica
EV-F2030-011-03,F2030-011,POL-02,POL,gol,78,Gol en jugada
EV-F2030-012-04,F2030-012,DEN-14,DEN,tarjeta_roja,7,Expulsión
EV-F2030-012-03,F2030-012,DEN-09,DEN,gol,35,Gol en jugada
EV-F2030-012-01,F2030-012,SUI-20,SUI,gol,59,Gol en jugada
EV-F2030-012-05,F2030-012,DEN-15,DEN,tarjeta_amarilla,63,Infracción táctica
EV-F2030-012-02,F2030-012,DEN-11,DEN,gol,69,Gol en jugada
EV-F2030-012-06,F2030-012,DEN-23,DEN,tarjeta_amarilla,70,Infracción táctica
EV-F2030-013-04,F2030-013,ECU-22,ECU,tarjeta_amarilla,23,Infracción táctica
EV-F2030-013-03,F2030-013,PER-06,PER,tarjeta_amarilla,39,Infracción táctica
EV-F2030-013-01,F2030-013,ECU-24,ECU,gol,73,Gol en jugada
EV-F2030-013-02,F2030-013,ECU-07,ECU,gol,81,Gol en jugada
EV-F2030-014-02,F2030-014,CHL-06,CHL,penal_convertido,10,Gol de penal
EV-F2030-014-04,F2030-014,SRB-23,SRB,tarjeta_amarilla,12,Infracción táctica
EV-F2030-014-01,F2030-014,SRB-11,SRB,gol,30,Gol en jugada
EV-F2030-014-03,F2030-014,SRB-04,SRB,tarjeta_amarilla,90,Infracción táctica
EV-F2030-015-01,F2030-015,CRC-07,CRC,penal_convertido,2,Gol de penal
EV-F2030-015-02,F2030-015,CRC-14,CRC,tarjeta_amarilla,5,Infracción táctica
EV-F2030-015-03,F2030-015,CRC-18,CRC,tarjeta_amarilla,73,Infracción táctica
EV-F2030-016-02,F2030-016,JAM-19,JAM,gol,39,Gol en jugada
EV-F2030-016-03,F2030-016,JAM-03,JAM,gol,42,Gol en jugada
EV-F2030-016-04,F2030-016,PAN-14,PAN,gol,43,Gol en jugada
EV-F2030-016-05,F2030-016,PAN-21,PAN,tarjeta_amarilla,50,Infracción táctica
EV-F2030-016-01,F2030-016,JAM-14,JAM,penal_convertido,83,Gol de penal
EV-F2030-017-03,F2030-017,GHA-04,GHA,penal_convertido,11,Gol de penal
EV-F2030-017-07,F2030-017,NGA-23,NGA,tarjeta_amarilla,18,Infracción táctica
EV-F2030-017-06,F2030-017,NGA-05,NGA,tarjeta_roja,35,Expulsión
EV-F2030-017-02,F2030-017,NGA-06,NGA,gol,36,Gol en jugada
EV-F2030-017-09,F2030-017,GHA-04,GHA,tarjeta_roja,36,Expulsión
EV-F2030-017-01,F2030-017,NGA-24,NGA,gol,45,Gol en jugada
EV-F2030-017-04,F2030-017,GHA-03,GHA,gol,62,Gol en jugada
EV-F2030-017-08,F2030-017,GHA-04,GHA,tarjeta_amarilla,63,Infracción táctica
EV-F2030-017-10,F2030-017,GHA-01,GHA,tarjeta_amarilla,69,Infracción táctica
EV-F2030-017-05,F2030-017,NGA-20,NGA,tarjeta_amarilla,81,Infracción táctica
EV-F2030-018-08,F2030-018,TUN-08,TUN,tarjeta_amarilla,5,Infracción táctica
EV-F2030-018-07,F2030-018,TUN-19,TUN,tarjeta_amarilla,6,Infracción táctica
EV-F2030-018-01,F2030-018,EGY-13,EGY,gol,18,Gol en jugada
EV-F2030-018-04,F2030-018,EGY-22,EGY,tarjeta_amarilla,31,Infracción táctica
EV-F2030-018-03,F2030-018,TUN-21,TUN,gol,43,Gol en jugada
EV-F2030-018-05,F2030-018,EGY-03,EGY,tarjeta_amarilla,44,Infracción táctica
EV-F2030-018-02,F2030-018,TUN-18,TUN,gol,81,Gol en jugada
EV-F2030-018-06,F2030-018,EGY-04,EGY,tarjeta_amarilla,87,Infracción táctica
EV-F2030-019-01,F2030-019,ALG-07,ALG,gol,14,Gol en jugada
EV-F2030-019-03,F2030-019,ALG-18,ALG,tarjeta_amarilla,20,Infracción táctica
EV-F2030-019-04,F2030-019,ALG-20,ALG,tarjeta_amarilla,21,Infracción táctica
EV-F2030-019-02,F2030-019,RSA-21,RSA,gol,32,Gol en jugada
EV-F2030-019-05,F2030-019,ALG-08,ALG,tarjeta_amarilla,38,Infracción táctica
EV-F2030-020-01,F2030-020,CMR-13,CMR,gol,22,Gol en jugada
EV-F2030-020-02,F2030-020,CIV-16,CIV,tarjeta_amarilla,45,Infracción táctica
EV-F2030-020-03,F2030-020,CIV-24,CIV,tarjeta_amarilla,60,Infracción táctica
EV-F2030-021-02,F2030-021,AUS-03,AUS,tarjeta_amarilla,26,Infracción táctica
EV-F2030-021-03,F2030-021,AUS-14,AUS,tarjeta_roja,52,Expulsión
EV-F2030-021-05,F2030-021,QAT-13,QAT,tarjeta_roja,59,Expulsión
EV-F2030-021-06,F2030-021,QAT-12,QAT,tarjeta_amarilla,61,Infracción táctica
EV-F2030-021-01,F2030-021,AUS-03,AUS,gol,65,Gol en jugada
EV-F2030-021-04,F2030-021,QAT-15,QAT,tarjeta_amarilla,89,Infracción táctica
EV-F2030-022-02,F2030-022,KSA-11,KSA,penal_convertido,51,Gol de penal
EV-F2030-022-04,F2030-022,IRN-04,IRN,gol,58,Gol en jugada
EV-F2030-022-03,F2030-022,KSA-18,KSA,gol,77,Gol en jugada
EV-F2030-022-01,F2030-022,KSA-24,KSA,gol,86,Gol en jugada
EV-F2030-023-01,F2030-023,NZL-04,NZL,gol,4,Gol en jugada
EV-F2030-023-02,F2030-023,NZL-13,NZL,gol,19,Gol en jugada
EV-F2030-023-05,F2030-023,NZL-10,NZL,tarjeta_roja,40,Expulsión
EV-F2030-023-03,F2030-023,CHN-01,CHN,tarjeta_amarilla,42,Infracción táctica
EV-F2030-023-04,F2030-023,CHN-06,CHN,tarjeta_amarilla,46,Infracción táctica
EV-F2030-024-02,F2030-024,UZB-12,UZB,penal_convertido,10,Gol de penal
EV-F2030-024-03,F2030-024,UZB-22,UZB,tarjeta_amarilla,10,Infracción táctica
EV-F2030-024-04,F2030-024,UZB-14,UZB,tarjeta_amarilla,12,Infracción táctica
EV-F2030-024-01,F2030-024,IRQ-04,IRQ,gol,70,Gol en jugada
EV-F2030-025-01,F2030-025,SWE-13,SWE,gol,9,Gol en jugada
EV-F2030-025-03,F2030-025,SWE-24,SWE,gol,11,Gol en jugada
EV-F2030-025-07,F2030-025,SWE-15,SWE,tarjeta_amarilla,12,Infracción táctica
EV-F2030-025-04,F2030-025,NOR-04,NOR,penal_convertido,13,Gol de penal
EV-F2030-025-02,F2030-025,SWE-23,SWE,gol,86,Gol en jugada
EV-F2030-025-05,F2030-025,SWE-15,SWE,tarjeta_amarilla,87,Infracción táctica
EV-F2030-025-06,F2030-025,SWE-08,SWE,tarjeta_amarilla,89,Infracción táctica
EV-F2030-026-01,F2030-026,UKR-08,UKR,gol,21,Gol en jugada
EV-F2030-026-02,F2030-026,CZE-24,CZE,gol,37,Gol en jugada
EV-F2030-026-04,F2030-026,CZE-18,CZE,tarjeta_amarilla,37,Infracción táctica
EV-F2030-026-03,F2030-026,CZE-13,CZE,tarjeta_amarilla,59,Infracción táctica
