partidoId,seleccionId,rol,goles,golesRecibidos,resultado
F2030-001,ARG,local,1,2,derrota
F2030-001,ESP,visitante,2,1,victoria
F2030-002,URU,local,3,0,victoria
F2030-002,PAR,visitante,0,3,derrota
F2030-003,FRA,local,2,1,victoria
F2030-003,BRA,visitante,1,2,derrota
F2030-004,POR,local,1,0,victoria
F2030-004,MAR,visitante,0,1,derrota
F2030-005,ENG,local,4,2,victoria
F2030-005,NED,visitante,2,4,derrota
F2030-006,GER,local,2,1,victoria
F2030-006,ITA,visitante,1,2,derrota
F2030-007,BEL,local,1,0,victoria
F2030-007,CRO,visitante,0,1,derrota
F2030-008,COL,local,2,0,victoria
F2030-008,USA,visitante,0,2,derrota
F2030-009,KOR,local,0,0,empate
F2030-009,SEN,visitante,0,0,empate
F2030-010,MEX,local,4,1,victoria
F2030-010,JPN,visitante,1,4,derrota
F2030-011,AUT,local,1,2,derrota
F2030-011,POL,visitante,2,1,victoria
F2030-012,SUI,local,1,2,derrota
F2030-012,DEN,visitante,2,1,victoria
F2030-013,PER,local,0,2,derrota
F2030-013,ECU,visitante,2,0,victoria
F2030-014,SRB,local,1,1,empate
F2030-014,CHL,visitante,1,1,empate
F2030-015,CAN,local,0,1,derrota
F2030-015,CRC,visitante,1,0,victoria
F2030-016,JAM,local,3,1,victoria
F2030-016,PAN,visitante,1,3,derrota
F2030-017,NGA,local,2,2,empate
F2030-017,GHA,visitante,2,2,empate
F2030-018,EGY,local,1,2,derrota
F2030-018,TUN,visitante,2,1,victoria
F2030-019,ALG,local,1,1,empate
F2030-019,RSA,visitante,1,1,empate
F2030-020,CMR,local,1,0,victoria
F2030-020,CIV,visitante,0,1,derrota
F2030-021,AUS,local,1,0,victoria
F2030-021,QAT,visitante,0,1,derrota
F2030-022,KSA,local,3,1,victoria
F2030-022,IRN,visitante,1,3,derrota
F2030-023,CHN,local,0,2,derrota
F2030-023,NZL,visitante,2,0,victoria
F2030-024,IRQ,local,1,1,empate
