partidoId,fecha,hora,fase,ordenFase,jornada,grupo,estadioId,estado,golesLocal,golesVisitante,definidoPor,penalesLocal,penalesVisitante
F2030-001,2030-06-13,13:00,GRUPOS,1,1,A,BUE-MON,finalizado,1,2,tiempo_reglamentario,,
F2030-002,2030-06-13,19:00,GRUPOS,1,1,A,ASU-DCH,finalizado,3,0,tiempo_reglamentario,,
F2030-003,2030-06-14,13:00,GRUPOS,1,1,B,MAD-BER,finalizado,2,1,tiempo_reglamentario,,
F2030-004,2030-06-14,13:00,GRUPOS,1,1,B,MAD-MET,finalizado,1,0,tiempo_reglamentario,,
F2030-005,2030-06-14,13:00,GRUPOS,1,1,C,BCN-CAM,finalizado,4,2,tiempo_reglamentario,,
F2030-006,2030-06-14,13:00,GRUPOS,1,1,C,SEV-CAR,finalizado,2,1,tiempo_reglamentario,,
F2030-007,2030-06-14,13:00,GRUPOS,1,1,D,BIO-SMA,finalizado,1,0,tiempo_reglamentario,,
F2030-008,2030-06-14,13:00,GRUPOS,1,1,D,VAL-MES,finalizado,2,0,tiempo_reglamentario,,
F2030-009,2030-06-14,13:00,GRUPOS,1,1,E,LIS-ALV,finalizado,0,0,tiempo_reglamentario,,
F2030-010,2030-06-14,13:00,GRUPOS,1,1,E,LIS-LUZ,finalizado,4,1,tiempo_reglamentario,,
F2030-011,2030-06-14,13:00,GRUPOS,1,1,F,CAS-HII,finalizado,1,2,tiempo_reglamentario,,
F2030-012,2030-06-14,13:00,GRUPOS,1,1,F,OPO-DRA,finalizado,1,2,tiempo_reglamentario,,
F2030-013,2030-06-14,13:00,GRUPOS,1,1,G,MRK-MAR,finalizado,0,2,tiempo_reglamentario,,
F2030-014,2030-06-14,13:00,GRUPOS,1,1,G,RAB-MAB,finalizado,1,1,tiempo_reglamentario,,
F2030-015,2030-06-14,13:00,GRUPOS,1,1,H,TAN-IBN,finalizado,0,1,tiempo_reglamentario,,
F2030-016,2030-06-14,13:00,GRUPOS,1,1,H,AGA-ADR,finalizado,3,1,tiempo_reglamentario,,
F2030-017,2030-06-14,13:00,GRUPOS,1,1,I,FEZ-FEZ,finalizado,2,2,tiempo_reglamentario,,
F2030-018,2030-06-14,16:00,GRUPOS,1,1,I,MAD-BER,finalizado,1,2,tiempo_reglamentario,,
F2030-019,2030-06-14,16:00,GRUPOS,1,1,J,BCN-CAM,finalizado,1,1,tiempo_reglamentario,,
F2030-020,2030-06-14,16:00,GRUPOS,1,1,J,MAD-MET,finalizado,1,0,tiempo_reglamentario,,
F2030-021,2030-06-14,16:00,GRUPOS,1,1,K,BIO-SMA,finalizado,1,0,tiempo_reglamentario,,
F2030-022,2030-06-14,16:00,GRUPOS,1,1,K,SEV-CAR,finalizado,3,1,tiempo_reglamentario,,
F2030-023,2030-06-14,16:00,GRUPOS,1,1,L,LIS-LUZ,finalizado,0,2,tiempo_reglamentario,,
F2030-024,2030-06-14,16:00,GRUPOS,1,1,L,VAL-MES,finalizado,1,1,tiempo_reglamentario,,
F2030-025,2030-06-14,16:00,GRUPOS,1,1,M,LIS-ALV,finalizado,3,1,tiempo_reglamentario,,
